Team,Window,RatingPoints,Disposals,Marks,Tackles,Goals,Inside50s,Clearances,CentreClearances,StoppageClearances,PressureActs,MetresGained
Carlton,season,196.173,374.091,93.727,53.636,11.455,51.273,,11.818,21.909,256.818,5881.727
Carlton,last5,192.26,382.8,106,47.4,11.6,53.4,,11.4,18.2,238.8,5856.8
Carlton,last10,195.47,373.3,96.2,55.2,11.6,51.4,,11.7,21.5,256,5858.2
Geelong,season,215.345,383.182,96.273,59,15.091,58.818,,13.818,21.727,268,6514.909
Geelong,last5,225.42,388.8,94.6,51,16.2,56.4,,13.4,21.6,267,6537
Geelong,last10,218.13,383.4,98.1,58.8,15.6,59.7,,13.4,21.6,264.4,6553.2
Sydney,season,236.636,389.545,81.636,63.455,16.273,62.091,,12.909,24.182,280.182,6748.273
Sydney,last5,234.36,387.4,82,62,15.2,60,,12.2,23.4,297.6,6667.8
Sydney,last10,233.73,390.1,83.4,63.1,15.9,61.6,,12.6,24.2,278.6,6746.2
Richmond,season,165.591,333.182,86.636,49.455,9.455,46.182,,11.636,20,253.727,5490.455
Richmond,last5,176.62,345,91.6,45,11.2,43.6,,11,20.2,226,5482.2
Richmond,last10,163.92,331,85.6,49.5,9.5,44.8,,11.6,20.3,253.5,5392.8
Brisbane,season,215,378.545,112.545,46.909,14.909,56.727,,16.091,25.636,257.818,6159.364
Brisbane,last5,224.96,384,110,47.6,15.8,57.8,,16.8,25,279.8,6247
Brisbane,last10,214.09,375.6,112.3,46.5,14.9,56.1,,16,25.4,255.4,6141.5
Fremantle,season,211.445,373.091,87.273,61.273,13.909,54.727,,13.091,23.273,248,6075
Fremantle,last5,219.72,372.8,89.2,63.2,15.4,56.6,,15,21.6,264.6,5933.6
Fremantle,last10,214.07,377.5,89.9,61.1,13.9,55.6,,12.7,23.1,250,6071.3
Western Bulldogs,season,201.936,365.909,86.909,58.818,12.545,51.182,,13.909,24.182,258.727,5861
Western Bulldogs,last5,196.16,361.4,87.4,60.4,11.4,50.4,,12,24.8,266.4,5767.8
Western Bulldogs,last10,198.96,366.4,87.8,58.7,12.2,51.3,,13.7,24.3,255.8,5850.4
Collingwood,season,207.5,381.636,103.182,58.909,11.818,52.182,,10.636,19.909,294.909,6101.182
Collingwood,last5,217.66,389.2,95.6,59.6,13.4,52.2,,11.6,21,310.6,6197.8
Collingwood,last10,208.85,376.4,98.8,59.5,11.9,53.4,,10.9,19.8,296.4,6077.8
Melbourne,season,218.082,349.364,85.545,58.364,15.182,56.636,,15.455,21.182,274.909,6196.455
Melbourne,last5,229.02,355.8,83.6,60,16.4,56.2,,16.6,22.6,295.6,6225.6
Melbourne,last10,215.65,350.2,85.9,60,14.9,56.6,,15.3,21.4,276.2,6184.9
Greater Western Sydney,season,226.455,392.818,86.364,59.273,13.273,56.091,,12.545,23.364,260.455,6312
Greater Western Sydney,last5,238.36,380.4,72.6,66.2,15,54.2,,13.6,25.6,270.8,6165.6
Greater Western Sydney,last10,224.38,396.4,85.9,60.2,12.7,55.4,,11.9,23.2,259.8,6256.6
West Coast,season,173.464,337.636,85.182,55.727,10.182,49.455,,13.091,21.818,262.727,5657.091
West Coast,last5,179.02,355.2,91.2,55.2,10.4,53.2,,13,23.6,266.2,5623.8
West Coast,last10,173.05,338.6,83.9,54,10.2,50.5,,12.8,22.2,260.5,5688.2
Essendon,season,185.327,362.455,94,49.818,11.182,47.273,,12.636,18,262.364,5568.273
Essendon,last5,180.86,367.2,95.2,48.4,9.6,48,,12.4,19.8,267.2,5530
Essendon,last10,185.79,364.9,95.9,50.2,11,48,,12.7,18.2,261.5,5580.7
