game,commence_time,market,player,side,line,best_price,book,books_at_line,projection,base_projection,projection_delta,dynamic_sigma,probability_model,season_matches,last10_projection,last10_matches,last5_projection,last5_matches,wheelo_support,stat_gap,model_probability,market_probability,model_edge,ev_per_unit,live_qi,signal,alt_line_score,book_market_reliability,stake_units,portfolio_selection,selection_rank,why_not_selected,line_selection,ladder_note,matched_wheelo,market_key,raw_player
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,Ranking/Fantasy Pts,Darcy Wilmot,Over,69.5,1.25,PointsBet (AU),4,89.586,87.273,2.313,19.36,normal,11,87.8,10,93.6,5,Model strong support,20.086,0.8502485521432864,0.8,0.050248552143286385,0.06281069017910812,75.0,INFO_ONLY,,1.0,0.0,NOT_SELECTED,,,NOT_ACTIONABLE,,True,player_afl_fantasy_points_over,Darcy Wilmot
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,Ranking/Fantasy Pts,Hugh McCluggage,Over,69.5,1.26,SportsBet,4,78.21,73.0,5.21,21.274,normal,8,80.571,7,81.4,5,Model strong support,8.709999999999994,0.6588842489548565,0.7936507936507936,-0.13476654469593707,-0.16980584631688078,56.5,INFO_ONLY,,1.0,0.0,NOT_SELECTED,,,NOT_ACTIONABLE,,True,player_afl_fantasy_points_over,Hugh McCluggage
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,Ranking/Fantasy Pts,Jarrod Berry,Over,69.5,1.29,SportsBet,4,77.0,78.167,-1.167,19.972,normal,6,75.0,5,,,Model lean support,7.5,0.6463652450146598,0.7751937984496123,-0.1288285534349526,-0.16618883393108885,49.1,INFO_ONLY,,1.0,0.0,NOT_SELECTED,,,NOT_ACTIONABLE,,True,player_afl_fantasy_points_over,Jarrod Berry
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,Ranking/Fantasy Pts,Jaspa Fletcher,Over,69.5,1.83,PointsBet (AU),4,68.372,70.909,-2.537,19.49,normal,11,70.3,10,64.0,5,Model neutral,-1.1280000000000001,0.4769237663565645,0.5464480874316939,-0.0695243210751294,-0.12722950756748685,47.0,INFO_ONLY,,1.0,0.0,NOT_SELECTED,,,NOT_ACTIONABLE,,True,player_afl_fantasy_points_over,Jaspa Fletcher
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,Ranking/Fantasy Pts,Josh Dunkley,Over,69.5,1.13,PointsBet (AU),4,87.468,85.636,1.832,19.03,normal,11,86.9,10,89.8,5,Model strong support,17.968000000000004,0.8274645809559823,0.8849557522123894,-0.057491171256407125,-0.0649650235197401,64.3,INFO_ONLY,,1.0,0.0,NOT_SELECTED,,,NOT_ACTIONABLE,,True,player_afl_fantasy_points_over,Josh Dunkley
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,Ranking/Fantasy Pts,Keidean Coleman,Over,69.5,1.99,SportsBet,4,72.03,73.545,-1.515,18.929,normal,11,73.6,10,69.0,5,Model neutral,2.530000000000001,0.553163234336931,0.5025125628140703,0.050650671522860735,0.10079483633049269,59.1,INFO_ONLY,,1.0,0.0,NOT_SELECTED,,,NOT_ACTIONABLE,,True,player_afl_fantasy_points_over,Keidean Coleman
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,Ranking/Fantasy Pts,Levi Ashcroft,Over,69.5,1.61,SportsBet,4,82.03,81.364,0.666,18.326,normal,11,82.7,10,82.0,5,Model strong support,12.530000000000001,0.7529265420197087,0.6211180124223602,0.13180852959734846,0.212211732651731,83.2,INFO_ONLY,,1.0,0.0,NOT_SELECTED,,,NOT_ACTIONABLE,,True,player_afl_fantasy_points_over,Levi Ashcroft
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,Ranking/Fantasy Pts,Sam Draper,Over,69.5,1.79,SportsBet,2,61.019,59.5,1.519,18.912,normal,10,59.5,10,64.0,5,Model strong against,-8.481000000000002,0.3269158800149736,0.5586592178770949,-0.2317433378621213,-0.4148205747731972,13.0,INFO_ONLY,,1.0,0.0,NOT_SELECTED,,,NOT_ACTIONABLE,,True,player_afl_fantasy_points_over,Sam Draper
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,Ranking/Fantasy Pts,Will Ashcroft,Over,69.5,1.13,PointsBet (AU),2,95.203,96.455,-1.252,18.682,normal,11,95.2,10,94.0,5,Model strong support,25.703000000000003,0.9155607421940037,0.8849557522123894,0.030604989981614317,0.034583638679224205,70.1,INFO_ONLY,,1.0,0.0,NOT_SELECTED,,,NOT_ACTIONABLE,,True,player_afl_fantasy_points_over,Will Ashcroft
Brisbane Lions v Fremantle Dockers,2026-05-30T06:15:19Z,Ranking/Fantasy Pts,Zac Bailey,Over,69.5,1.2,SportsBet,4,90.326,87.3,3.026,19.714,normal,10,89.444,9,94.0,5,Model strong support,20.825999999999993,0.8546087573559462,0.8333333333333334,0.021275424022612843,0.025530508827135368,72.1,INFO_ONLY,,1.0,0.0,NOT_SELECTED,,,NOT_ACTIONABLE,,True,player_afl_fantasy_points_over,Zac Bailey
