bet_id,game,commence_time,player,market,side,line,book,actual,result,unit_profit,stake_profit,stake_units,signal
jack_gunston_goals_over_2_5_unibet_2026_05_28T09_30_00Z,St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,Jack Gunston,Goals,Over,2.5,Unibet,5,WIN,0.79,0.395,0.5,A_BET
isaac_keeler_goals_over_0_5_pointsbetau_2026_05_28T09_30_00Z,St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,Isaac Keeler,Goals,Over,0.5,PointsBet (AU),0,LOSS,-1,-0.5,0.5,A_BET
karl_amon_disposals_under_26_5_pointsbetau_2026_05_28T09_30_00Z,St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,Karl Amon,Disposals,Under,26.5,PointsBet (AU),24,WIN,0.87,0.87,1.0,A_BET
nick_watson_goals_over_1_5_unibet_2026_05_28T09_30_00Z,St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,Nick Watson,Goals,Over,1.5,Unibet,2,WIN,0.38,0.19,0.5,A_BET
bradley_hill_disposals_over_19_5_pointsbetau_2026_05_28T09_30_00Z,St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,Bradley Hill,Disposals,Over,19.5,PointsBet (AU),30,WIN,0.87,0.435,0.5,B_BET
max_hall_disposals_under_21_5_sportsbet_2026_05_28T09_30_00Z,St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,Max Hall,Disposals,Under,21.5,SportsBet,26,LOSS,-1,-0.5,0.5,B_BET
cam_mackenzie_tackles_over_3_5_pointsbetau_2026_05_28T09_30_00Z,St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,Cam Mackenzie,Tackles,Over,3.5,PointsBet (AU),6,WIN,1.1,0.44,0.4,B_BET
marcus_windhager_disposals_over_20_5_pointsbetau_2026_05_28T09_30_00Z,St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,Marcus Windhager,Disposals,Over,20.5,PointsBet (AU),16,LOSS,-1,-0.5,0.5,B_BET
connor_macdonald_disposals_over_18_5_pointsbetau_2026_05_28T09_30_00Z,St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,Connor Macdonald,Disposals,Over,18.5,PointsBet (AU),26,WIN,0.87,0.435,0.5,B_BET
jack_sinclair_disposals_over_27_5_pointsbetau_2026_05_28T09_30_00Z,St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,Jack Sinclair,Disposals,Over,27.5,PointsBet (AU),33,WIN,0.87,0.435,0.5,B_BET
