game,commence_time,market,player,side,line,best_price,book,books_at_line,projection,base_projection,projection_delta,dynamic_sigma,probability_model,season_matches,last10_projection,last10_matches,last5_projection,last5_matches,wheelo_support,stat_gap,model_probability,market_probability,model_edge,ev_per_unit,posterior_probability,posterior_edge,posterior_ev_per_unit,calibration_blend,historical_roi_penalty,historical_roi_bonus,historical_samples,calibration_note,live_qi,signal,alt_line_score,book_market_reliability,stake_units,thorp_full_kelly_pct,thorp_bankroll_pct,thorp_kelly_fraction,thorp_allocation_note,portfolio_selection,selection_rank,why_not_selected,premium_score,premium_rule_note,line_selection,ladder_note,matched_wheelo,market_key,raw_player
Adelaide Crows v Melbourne Demons,2026-06-20T03:15:00Z,Goals,Riley Thilthorpe,Over,3.5,5.5,Ladbrokes,10,1.431,1.5454545454545454,-0.114,0.917,poisson,11,1.375,8,1.3333333333333333,3,Model strong against,-2.069,0.057283135959081855,0.18181818181818182,-0.12453504585909997,-0.6849427522250497,0.01,-0.171818,-0.945,0.35,0.2,0.0,98,"market_side_price_roi_drag, market_side_roi_drag",28.5,PASS,,1.0,0.0,0.0,0.0,0.0,No Thorp allocation: not selected.,NOT_SELECTED,,,,,NOT_ACTIONABLE,,True,player_goals_scored_over,Riley Thilthorpe
Adelaide Crows v Melbourne Demons,2026-06-20T03:15:00Z,Goals,Daniel Curtin,Over,2.5,34.0,Unibet,3,0.179,0.16666666666666666,0.012,0.899,negative_binomial,6,0.16666666666666666,6,0.2,5,Model strong against,-2.321,0.02215564610468357,0.029411764705882353,-0.007256118601198784,-0.24670803244075867,0.01,-0.019412,-0.66,0.35,0.2,0.0,98,"market_side_price_roi_drag, market_side_roi_drag",38.8,PASS,,1.0,0.0,0.0,0.0,0.0,No Thorp allocation: not selected.,NOT_SELECTED,,,,,NOT_ACTIONABLE,,True,player_goals_scored_over,Daniel Curtin
Adelaide Crows v Melbourne Demons,2026-06-20T03:15:00Z,Goals,Alex Neal-Bullen,Over,2.5,17.0,Ladbrokes,10,0.643,0.6666666666666666,-0.024,0.864,negative_binomial,12,0.6666666666666666,9,0.6,5,Model strong against,-1.857,0.03834450550408397,0.058823529411764705,-0.020479023907680735,-0.3481434064305725,0.01,-0.048824,-0.83,0.35,0.2,0.0,98,"market_side_price_roi_drag, market_side_roi_drag",39.0,PASS,,1.0,0.0,0.0,0.0,0.0,No Thorp allocation: not selected.,NOT_SELECTED,,,,,NOT_ACTIONABLE,,True,player_goals_scored_over,Alex Neal-Bullen
Adelaide Crows v Melbourne Demons,2026-06-20T03:15:00Z,Goals,Darcy Fogarty,Over,1.5,2.3,TAB,9,1.062,1.1428571428571428,-0.081,0.931,poisson,7,1.0,4,1.0,4,Model strong against,-0.43799999999999994,0.28703547502950744,0.4347826086956522,-0.14774713366614478,-0.339818407432133,0.141749,-0.293034,-0.673978,0.35,0.2,0.0,76,"market_side_price_roi_drag, market_side_roi_drag",26.2,PASS,,1.0,0.0,0.0,0.0,0.0,No Thorp allocation: not selected.,NOT_SELECTED,,,,,NOT_ACTIONABLE,,True,player_goals_scored_over,Darcy Fogarty
Adelaide Crows v Melbourne Demons,2026-06-20T03:15:00Z,Goals,Jake Soligo,Over,1.5,15.0,PointsBet (AU),10,0.552,0.5454545454545454,0.007,0.868,negative_binomial,11,0.5,8,0.6,5,Model strong against,-0.948,0.12274516127259383,0.06666666666666667,0.05607849460592716,0.8411774190889074,0.053628,-0.013039,-0.195581,0.35,0.2,0.05,110,"market_side_price_roi_drag, market_side_roi_drag, book_market_roi_tailwind",46.6,PASS,,0.92,0.0,0.0,0.0,0.0,No Thorp allocation: not selected.,NOT_SELECTED,,,,,NOT_ACTIONABLE,,True,player_goals_scored_over,Jake Soligo
Adelaide Crows v Melbourne Demons,2026-06-20T03:15:00Z,Goals,Darcy Fogarty,Over,3.5,13.0,Ladbrokes,9,1.062,1.1428571428571428,-0.081,0.931,poisson,7,1.0,4,1.0,4,Model strong against,-2.4379999999999997,0.023027550843544575,0.07692307692307693,-0.05389552607953235,-0.7006418390339205,0.01,-0.066923,-0.87,0.35,0.2,0.0,98,"market_side_price_roi_drag, market_side_roi_drag",35.6,PASS,,1.0,0.0,0.0,0.0,0.0,No Thorp allocation: not selected.,NOT_SELECTED,,,,,NOT_ACTIONABLE,,True,player_goals_scored_over,Darcy Fogarty
Adelaide Crows v Melbourne Demons,2026-06-20T03:15:00Z,Goals,Jordan Dawson,Over,4.5,31.0,TAB,7,1.682,1.5,0.182,0.949,poisson,10,1.75,8,1.8,5,Model strong against,-2.818,0.02848436906752716,0.03225806451612903,-0.0037736954486018714,-0.11698455890665804,0.01,-0.022258,-0.69,0.35,0.2,0.0,98,"market_side_price_roi_drag, market_side_roi_drag",40.6,PASS,,1.0,0.0,0.0,0.0,0.0,No Thorp allocation: not selected.,NOT_SELECTED,,,,,NOT_ACTIONABLE,,True,player_goals_scored_over,Jordan Dawson
Adelaide Crows v Melbourne Demons,2026-06-20T03:15:00Z,Goals,Jake Melksham,Over,1.5,2.3,TAB,10,1.85,2.0,-0.15,1.069,poisson,3,1.0,2,2.0,1,Model strong support,0.3500000000000001,0.5518740760061613,0.4347826086956522,0.11709146731050912,0.26931037481417097,0.298905,-0.135878,-0.312519,0.35,0.2,0.0,76,"market_side_price_roi_drag, market_side_roi_drag",88.7,PASS,,1.0,0.0,0.0,0.0,0.0,No Thorp allocation: not selected.,NOT_SELECTED,,,,,NOT_ACTIONABLE,,True,player_goals_scored_over,Jake Melksham
Adelaide Crows v Melbourne Demons,2026-06-20T03:15:00Z,Goals,Kysaiah Pickett,Over,2.5,4.6,SportsBet,10,1.726,1.5714285714285714,0.155,0.93,poisson,14,1.8,10,1.8,5,Model strong against,-0.774,0.24965544952321994,0.2173913043478261,0.03226414517539383,0.14841506780681168,0.01,-0.207391,-0.954,0.35,0.3,0.0,129,"market_side_price_roi_drag, market_side_roi_drag, book_market_roi_drag",44.2,PASS,,1.0,0.0,0.0,0.0,0.0,No Thorp allocation: not selected.,NOT_SELECTED,,,,,NOT_ACTIONABLE,,True,player_goals_scored_over,Kysaiah Pickett
Adelaide Crows v Melbourne Demons,2026-06-20T03:15:00Z,Goals,Ed Langdon,Over,2.5,34.0,Unibet,3,0.466,0.5,-0.034,0.9,negative_binomial,14,0.3,10,0.6,5,Model strong against,-2.034,0.039984004527893746,0.029411764705882353,0.010572239822011394,0.35945615394838737,0.01,-0.019412,-0.66,0.35,0.2,0.0,98,"market_side_price_roi_drag, market_side_roi_drag",40.6,PASS,,1.0,0.0,0.0,0.0,0.0,No Thorp allocation: not selected.,NOT_SELECTED,,,,,NOT_ACTIONABLE,,True,player_goals_scored_over,Ed Langdon
