captured_datetime,match_datetime,game,player,market,type,line,best_price,bookie,qi,bet_size,final_stat,stat,market_bucket,captured_qi_tier,wheelo_projection,season_projection,last5_projection,last10_projection,dynamic_sigma,probability_model,model_stat_edge,model_support,model_probability,market_implied_probability,model_edge,model_qi_num,model_qi_tier,bet_rule,win,profit
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Connor MacDonald,Goal Scorer Anytime,Over,0.5,1.65,TAB,91.4,$40,0,Goals_Avg,Goals,QI 90+,0.844,0.727,1.0,0.8,0.916,poisson,0.344,Model strong support,0.57,0.6061,-0.036,68.9,QI 60-69,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Bailey Humphrey,Goal Scorer Anytime,Over,0.5,1.63,PointsBet (AU),89.4,$40,4,Goals_Avg,Goals,QI 80-89,0.81,1.0,0.8,0.571,0.967,negative_binomial,0.31,Model strong support,0.5292,0.6135,-0.0843,64.1,QI 60-69,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Mitchell Lewis,Goal Scorer Anytime,Over,0.5,1.40,PointsBet (AU),89.1,$50,1,Goals_Avg,Goals,QI 80-89,,,,,0.85,no_projection,,No Model data match,,0.7143,,0.0,QI <60,PASS_NO_MODEL,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Sam Butler,Goal Scorer Anytime,Over,0.5,1.90,TAB,88.9,$35,2,Goals_Avg,Goals,QI 80-89,0.537,0.571,1.0,0.333,0.988,negative_binomial,0.037,Model neutral,0.3246,0.5263,-0.2017,38.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Conor Nash,Disposals Over,Over,14.5,1.20,Dabble AU,88.3,$70,17,Disposals,Disposals,QI 80-89,19.225,19.1,19.25,19.333,5.566,normal_cc,4.725,Model strong support,0.802,0.8333,-0.0313,72.4,QI 70-79,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Lachie Whitfield,Disposals Over,Over,29.5,2.10,Dabble AU,88.3,$30,27,Disposals,Disposals,QI 80-89,29.599,29.7,29.4,29.7,5.561,normal_cc,0.099,Model neutral,0.5071,0.4762,0.0309,62.6,QI 60-69,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Ben Long,Goal Scorer Anytime,Over,0.5,1.29,PointsBet (AU),88.3,$60,2,Goals_Avg,Goals,QI 80-89,1.182,1.3,1.0,1.222,0.92,poisson,0.682,Model strong support,0.6933,0.7752,-0.0819,64.3,QI 60-69,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Sam Butler,Disposals Over,Over,14.5,2.00,TAB,85.8,$30,10,Disposals,Disposals,QI 80-89,11.986,11.857,12.0,12.167,5.785,normal_cc,-2.514,Model lean against,0.3319,0.5,-0.1681,30.7,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Finn Callaghan,Disposals Over,Over,29.5,2.40,Dabble AU,85.8,$30,26,Disposals,Disposals,QI 80-89,26.986,28.1,24.8,28.1,6.169,normal_cc,-2.514,Model lean against,0.3418,0.4167,-0.0749,40.0,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Ben King,Goal Scorer Anytime,Over,0.5,1.07,PointsBet (AU),84.9,$115,4,Goals_Avg,Goals,QI 80-89,2.692,3.091,2.0,3.0,1.084,poisson,2.192,Model strong support,0.9323,0.9346,-0.0023,72.3,QI 70-79,PASS,True,0.0
