captured_datetime,match_datetime,game,player,market,type,line,best_price,bookie,qi,bet_size,final_stat,bucket,stat,pred,gap,support,win,profit,stake
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Connor MacDonald,Goal Scorer Anytime,Over,0.5,1.65,TAB,91.4,$40,0,Goals,Goals_Avg,0.8535,0.35350000000000004,Wheelo strong support,False,-40.0,40.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Bailey Humphrey,Goal Scorer Anytime,Over,0.5,1.63,PointsBet (AU),89.4,$40,4,Goals,Goals_Avg,1.6749,1.1749,Wheelo strong support,True,25.199999999999996,40.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Mitchell Lewis,Goal Scorer Anytime,Over,0.5,1.40,PointsBet (AU),89.1,$50,1,Goals,Goals_Avg,,,No Wheelo match,True,19.999999999999996,50.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Sam Butler,Goal Scorer Anytime,Over,0.5,1.90,TAB,88.9,$35,2,Goals,Goals_Avg,1.0,0.5,Wheelo strong support,True,31.499999999999996,35.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Conor Nash,Disposals Over,Over,14.5,1.20,Dabble AU,88.3,$70,17,Disposals,Disposals,20.0335,5.5335,Wheelo strong support,True,13.999999999999996,70.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Lachie Whitfield,Disposals Over,Over,29.5,2.10,Dabble AU,88.3,$30,27,Disposals,Disposals,27.7113,-1.7886999999999986,Wheelo lean against,False,-30.0,30.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Ben Long,Goal Scorer Anytime,Over,0.5,1.29,PointsBet (AU),88.3,$60,2,Goals,Goals_Avg,1.5065,1.0065,Wheelo strong support,True,17.400000000000002,60.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Sam Butler,Disposals Over,Over,14.5,2.00,TAB,85.8,$30,10,Disposals,Disposals,10.333499999999999,-4.166500000000001,Wheelo strong against,False,-30.0,30.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Finn Callaghan,Disposals Over,Over,29.5,2.40,Dabble AU,85.8,$30,26,Disposals,Disposals,28.566499999999998,-0.9335000000000022,Wheelo neutral,False,-30.0,30.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Ben King,Goal Scorer Anytime,Over,0.5,1.07,PointsBet (AU),84.9,$115,4,Goals,Goals_Avg,4.0865,3.5865,Wheelo strong support,True,8.050000000000008,115.0
