Team,Player,Position,PredictedRating,RatingPoints_Avg,TimeOnGround,Disposals,Marks,Tackles,Goals_Total,Goals_Avg,Inside50s,Rebound50s,MetresGained,TotalClearances,IsSelected
Fremantle,Hugh Davies,,4.76756139953056,,,,,,,,,,,,1
Fremantle,Mason Cox,,5.30256402740444,3.163,56.625,6.625,2,1.875,2,0.25,0.375,0.75,81.25,1.625,1
Fremantle,Cooper Simpson,,5.47654374451694,,,,,,,,,,,,1
Fremantle,Jaren Carr,,5.71701389189729,,,,,,,,,,,,1
Fremantle,Charlie Nicholls,,5.71701389189729,,,,,,,,,,,,1
Fremantle,Tobyn Murray,,5.71701389189729,,,,,,,,,,,,1
Fremantle,Ollie Murphy,,5.71701389189729,,,,,,,,,,,,1
Fremantle,Aiden Riddle,,5.71701389189729,,,,,,,,,,,,1
Fremantle,Adam Sweid,,5.71701389189729,,,,,,,,,,,,1
Fremantle,Leon Kickett,,5.71701389189729,,,,,,,,,,,,1
Fremantle,Toby Whan,,5.71701389189729,,,,,,,,,,,,1
Fremantle,Ryda Luke,,5.71701389189729,,,,,,,,,,,,1
Fremantle,Jeremy Sharp,,5.72030272639766,6.35,67.5,12,6,1,2,1.0,2,0,216,0,1
Fremantle,Oscar McDonald,,5.8300562511269,6.62,91.2,12.2,4.4,2,0,0.0,1,3.2,203.4,0.2,1
Fremantle,Joshua Draper,,6.08279395284292,,,,,,,,,,,,1
Fremantle,Brandon Walker,,6.48187055343022,5,91,10,0,1,0,0.0,1,2,203,1,1
Fremantle,Christopher Scerri,,6.7421792265371,6.371,68.143,9.571,0.857,1.714,1,0.143,1.143,0.286,80.143,0.143,1
Fremantle,Jye Amiss,,7.08110644933248,8.523,89.154,10.154,4.846,1.077,32,2.462,0.846,0,148.692,0.077,1
Fremantle,Judd McVee,,7.12939832751493,6.825,79,16.083,4.417,0.667,0,0.0,1.333,3.167,200.833,1,1
Fremantle,Sam Sturt,,7.24846169874822,,,,,,,,,,,,1
Fremantle,Patrick Voss,,7.39537709095088,6.375,86.333,11.75,4.333,3.167,24,2.0,2,0.167,211.917,0.167,1
Fremantle,Bailey Banfield,,7.48068457869349,,,,,,,,,,,,1
Fremantle,Michael Frederick,,7.48935792769931,9.287,75.5,12.5,3.5,1.625,10,1.25,2.75,0.75,263.875,0.75,1
Fremantle,Karl Worner,,7.51514929620269,7.223,80.154,18.231,5.846,2.231,0,0.0,1.385,4.462,352.231,0.538,1
Fremantle,Isaiah Dudley,,7.54071330233542,8.3,69.462,9,1.462,2.692,17,1.308,1.385,0.231,134.538,0.538,1
Fremantle,Alex Pearce,,7.54157480928929,6.964,77.182,8.091,3.636,1.182,0,0.0,0.636,1.818,107.636,0.182,1
Fremantle,Brennan Cox,,7.57447285883722,7.14,76.7,13,5.3,1.8,0,0.0,0.6,3,171.3,0.1,1
Fremantle,Heath Chapman,,7.70962337907795,8.077,85.538,16.769,5.923,1.769,1,0.077,2.154,3.154,311.077,0.231,1
Fremantle,Neil Erasmus,,7.93136344258693,6.131,74,17.462,4,3.077,4,0.308,2.462,2.231,241.308,1.692,1
Fremantle,Corey Wagner,,8.50658468446878,7.783,75.75,18.083,3.583,2.333,0,0.0,2.917,2.917,396.75,1.25,1
Fremantle,Luke Ryan,,8.59408171152447,8.875,86.5,20.833,7.5,1.667,0,0.0,1.417,4.833,424.583,0.083,1
Fremantle,Jaeger O'Meara,,8.66748188351703,8.075,71.75,16.75,3.5,3,0,0.0,2.5,1.25,261.75,2,1
Fremantle,Nathan O'Driscoll,,8.85353066995967,10.15,78.667,20,4,1.833,1,0.167,3.333,1.167,300.833,1.167,1
Fremantle,Matthew Johnson,,9.32262224397148,9.625,74.917,16.083,2.25,3,4,0.333,2.583,1,252.417,2.083,1
Fremantle,Sam Switkowski,,9.54123172346939,9.077,72.385,11.231,2.154,2.692,10,0.769,2.231,0.077,139.462,0.615,1
Fremantle,Jordan Clark,,9.59277778720953,9.454,83.385,22.462,5,1.923,1,0.077,3.077,5,492.462,1.154,1
Fremantle,Josh Treacy,,10.2891639771183,11.946,88.308,13.923,7.077,2.462,32,2.462,2.692,0.154,270.308,0.077,1
Fremantle,Sean Darcy,,10.4681202320775,6.18,44.4,7.2,1.4,1.8,1,0.2,1.6,0,94.4,1.4,1
Fremantle,Murphy Reid,,10.9179073813836,11,82.846,23.769,3.615,2.231,9,0.692,4.154,0.846,315.077,2.154,1
Fremantle,Shai Bolton,,12.3694707774595,15.115,81.538,24.385,2.692,3.154,13,1.0,5.923,0.923,432.538,4.385,1
Fremantle,Andrew Brayshaw,,12.4992233567498,11.331,78.077,23.846,2.692,6,4,0.308,3.538,1,362.769,4.769,1
Fremantle,Hayden Young,,13.5893713463933,14,72.5,19.667,3.667,3.833,7,1.167,4.167,0.833,316,4.5,1
Fremantle,Luke Jackson,,14.5372672386357,16.031,77.846,19,2.615,5.154,12,0.923,2.231,0.923,196,5,1
Fremantle,Caleb Serong,,14.807021095138,15.04,79.4,24.9,2.6,4.5,5,0.5,4.7,1.7,401.2,6.3,1
Geelong,Harley Barker,,5.71701389189729,,,,,,,,,,,,1
Geelong,Jacob Molier,,5.71701389189729,,,,,,,,,,,,1
Geelong,Jay Polkinghorne,,5.71701389189729,,,,,,,,,,,,1
Geelong,Joe Pike,,5.71701389189729,,,,,,,,,,,,1
Geelong,Lennox Hofmann,,5.71701389189729,,,,,,,,,,,,1
Geelong,Keighton Matofai-Forbes,,5.71701389189729,,,,,,,,,,,,1
Geelong,Nicholas Driscoll,,5.71701389189729,,,,,,,,,,,,1
Geelong,Jesse Mellor,,5.71701389189729,,,,,,,,,,,,1
Geelong,Hunter Holmes,,5.71701389189729,,,,,,,,,,,,1
Geelong,Cillian Burke,,5.71701389189729,,,,,,,,,,,,1
Geelong,Jake Kolodjashnij,,6.54047533106853,7.2,76.75,12.125,4.125,1,1,0.125,0.75,2,145.375,0.125,1
Geelong,Oliver Henry,,6.77091799709778,6.754,81.154,11.077,3.154,1.692,23,1.769,2.692,0.077,205.154,0.538,1
Geelong,Mark O'Connor,,6.86045416681079,7.4,79.75,14.5,4.833,2.25,3,0.25,1.583,1.833,194.5,0.917,1
Geelong,Jack Martin,,7.01224367045299,5.908,70.75,11.833,4.5,2.667,14,1.167,1.333,0.167,166,0.833,1
Geelong,Jed Bews,,7.04314430391965,,,,,,,,,,,,1
Geelong,Oliver Wiltshire,,7.06275516417196,6.667,75.833,10.333,1.5,1.167,5,0.833,3.167,0.5,216.667,0.667,1
Geelong,George Stevens,,7.17766965399855,4.6,60,11,2,4,0,0.0,1,0,89,2,1
Geelong,Jack Henry,,7.2108060973944,6.45,84,9.7,4.2,1.1,5,0.5,0.9,1,111.9,0.1,1
Geelong,Mitch Knevitt,,7.83266385313636,7.4,77,11,3,0,1,1.0,1,0,194,0,1
Geelong,Jhye Clark,,7.90454624458906,6.3,62,11.667,1.667,2.333,2,0.667,2.667,0,227.333,1.333,1
Geelong,Oisin Mullin,,7.99347784136743,8.15,79.643,13.786,3.071,3.857,1,0.071,1.857,1.286,225.643,2.286,1
Geelong,Brad Close,,8.00840136017623,8.1,78.1,8.9,2,2.3,8,0.8,2.3,0,139.4,0.1,1
Geelong,Zach Guthrie,,8.08268693272195,7.957,77,16.714,5.143,2.714,1,0.071,1.071,2.786,271,0.714,1
Geelong,Mitchell Edwards,,8.28643619370784,7.109,60.364,8.545,0.818,2.182,0,0.0,1.727,0.273,88.545,2.273,1
Geelong,Tanner Bruhn,,8.32361564824522,6.385,69.769,21.308,4.769,3.231,0,0.0,3.462,2.154,347.769,1.692,1
Geelong,Mark Blicavs,,8.54410089170421,6.8,71.273,12.818,2.273,3,1,0.091,1.091,0.727,153.545,2,1
Geelong,Rhys Stanley,,8.58539200030753,15.4,66,17,3,3,0,0.0,4,0,240,3,1
Geelong,Sam De Koning,,8.68679382153608,9.238,73,14.462,4.154,1.846,1,0.077,1.231,1.538,165.769,1.923,1
Geelong,Shannon Neale,,8.76941263904642,10.121,88.571,10.571,4.357,2.571,25,1.786,2.357,0.143,209.143,1,1
Geelong,Connor O'Sullivan,,9.06675352960652,8.814,91.429,16,6.643,1.643,1,0.071,1,3.5,282.571,0.143,1
Geelong,Tyson Stengle,,9.23266857836852,,,,,,,,,,,,1
Geelong,Patrick Dangerfield,,9.56193566699736,7.97,67.3,14.9,3.1,1.3,12,1.2,2.7,0.2,251.7,2,1
Geelong,Lawson Humphries,,10.0596242901116,10.815,81.154,20.231,5.923,2.385,3,0.231,2.385,3.923,444.385,0.462,1
Geelong,Toby Conway,,10.0609203085257,,,,,,,,,,,,1
Geelong,Tom Stewart,,10.070678702732,10.415,81.154,20.769,5,1.615,1,0.077,0.769,6.385,431.154,0.538,1
Geelong,James Worpel,,10.126939701192,9.85,70,17.5,2.833,5.5,3,0.5,5,1.333,283.167,5.667,1
Geelong,Jeremy Cameron,,10.3473701935344,11.408,90.231,15.231,7,1.154,37,2.846,3.077,0.231,368.923,0.154,1
Geelong,Oliver Dempsey,,10.430247404256,10,87.214,18.5,4.857,1.857,15,1.071,2.643,1.429,281.714,1,1
Geelong,Jack Bowes,,10.4329059779908,10.443,69.571,18.857,4,2.429,7,1.0,3.286,1.143,339.714,1,1
Geelong,Gryan Miers,,10.5416491791335,7.656,79.111,22.778,5.667,2.667,0,0.0,3.111,1.667,304,1,1
Geelong,Tom Atkins,,11.1501538773423,10.371,73.214,18.286,1.571,6.5,2,0.143,2.929,1,187.5,3.571,1
Geelong,Shaun Mannagh,,11.8705948198348,12.379,80.357,15.857,2.357,2.357,21,1.5,4.714,0.429,364.286,2.214,1
Geelong,Bailey Smith,,14.3635334178071,15.814,83.857,32.286,4.143,5,6,0.429,6.857,2.786,631.929,5.5,1
Geelong,Max Holmes,,14.5390161697291,14.179,80.5,29.357,5.286,3.143,4,0.286,4.643,4.786,572.357,3.929,1
Gold Coast,Lachlan Gulbin,,4.32394625184748,4.463,74.875,10.75,2.375,2.125,3,0.375,2.125,0.625,175.25,0,1
Gold Coast,Ben Jepson,,4.64291728809803,2.9,70.5,8.5,3,2.5,0,0.0,1,0.5,141,0.5,1
Gold Coast,Ethan Read,,4.75256982239174,3.822,74.444,10.222,3.333,1.444,9,1.0,1.111,0.222,126.333,0.556,1
Gold Coast,Jai Murray,,5.03069896929231,3.3,69,14,5.5,1.5,0,0.0,2.5,1,260.5,0,1
Gold Coast,Jed Walter,,5.39961672554621,5.787,72.375,8.125,3.5,1.125,15,1.875,1.5,0.25,167.875,0.125,1
Gold Coast,Oscar Adams,,5.42957291243355,6.14,73.8,10.5,3.7,1.4,0,0.0,0.5,0.9,100.3,0,1
Gold Coast,Caleb Lewis,,5.71701389189729,,,,,,,,,,,,1
Gold Coast,Max Knobel,,5.71701389189729,,,,,,,,,,,,1
Gold Coast,Asher Eastham,,5.71701389189729,,,,,,,,,,,,1
Gold Coast,Cooper Bell,,5.71701389189729,,,,,,,,,,,,1
Gold Coast,Avery Thomas,,5.71701389189729,,,,,,,,,,,,1
Gold Coast,Beau Addinsall,,5.71701389189729,,,,,,,,,,,,1
Gold Coast,Koby Coulson,,5.71701389189729,,,,,,,,,,,,1
Gold Coast,Dylan Patterson,,5.71701389189729,,,,,,,,,,,,1
Gold Coast,Zak Evans,,5.71701389189729,,,,,,,,,,,,1
Gold Coast,Zeke Uwland,,5.88426075328235,5.39,69.8,12.3,2.9,1.1,6,0.6,2.4,1.6,294.6,0.3,1
Gold Coast,Jamarra Ugle-Hagan,,6.19720058758658,1.267,66.667,5.667,2.667,0.667,4,1.333,1,0,139,0,1
Gold Coast,Jy Farrar,,6.36562280529033,1,63,7,2,2,1,0.5,1,0,65,0,1
Gold Coast,Nick Holman,,6.50714818340276,6.45,77,11,2,2,0,0.0,1.5,0.5,143.5,0,1
Gold Coast,Charlie Ballard,,6.60030663409918,4.6,69.4,10,4.2,0.8,0,0.0,0.2,1.4,90.2,0.2,1
Gold Coast,Ben Long,,6.94701771162298,7.908,79,10.833,2.833,2.167,15,1.25,2.417,0.167,175.583,0.333,1
Gold Coast,Ben King,,6.99814573957568,8.215,89,7.538,3.769,0.462,41,3.154,0.846,0,159.769,0.077,1
Gold Coast,Elliott Himmelberg,,7.25510013579865,,,,,,,,,,,,1
Gold Coast,Jake Rogers,,7.30487590412195,7.88,61.8,9.8,1.4,2.4,3,0.6,1.4,0.2,115,0.6,1
Gold Coast,Sam Clohesy,,7.88982778169908,7.025,73.875,15.875,4.375,2.625,2,0.25,2,0.875,290,0.625,1
Gold Coast,Will Graham,,8.09205276337855,6.382,70.364,11.273,2.545,3.273,5,0.455,2.727,0.273,180,1.182,1
Gold Coast,Caleb Graham,,8.45112304347505,,,,,,,,,,,,1
