Team,Window,RatingPoints,Disposals,Marks,Tackles,Goals,Inside50s,Clearances,CentreClearances,StoppageClearances,PressureActs,MetresGained
Fremantle,season,212.615,373.154,89.077,58.615,14.769,54.308,,13.154,22.846,239.538,6084.231
Fremantle,last5,214.64,370.8,93.2,53,16.6,54.6,,13.4,21,224.4,5911.2
Fremantle,last10,215.81,369.9,90.9,59.3,14.8,53.7,,13.1,22.1,245.5,6007.4
Geelong,season,211.936,378.571,93.143,59.714,14.5,58.214,,13.571,22.714,272.071,6456.214
Geelong,last5,214.04,379.8,86,58,13.8,60.6,,13.2,24.8,285.2,6577
Geelong,last10,217.18,380.7,91.6,58.6,15.4,58.4,,13.7,23.2,270.4,6469.5
Gold Coast,season,210.231,368.846,90.769,53.462,13.923,55.692,,12.077,19.308,255.538,6470.538
Gold Coast,last5,197.46,364.4,96,49.2,12.6,50.6,,11.6,17.4,242,6407.2
Gold Coast,last10,201.03,362.9,89.9,52.3,12.3,53.2,,12.1,18.6,255.5,6429.6
Hawthorn,season,216.362,391.615,102.769,58.538,13.769,55.769,,12.231,24.538,262,6279.154
Hawthorn,last5,204.08,385.8,94,56.6,12,53.6,,11.4,24.4,277.6,6181.6
Hawthorn,last10,211.48,392.4,100,60.4,13,54.3,,11.5,25,259.7,6222.5
Adelaide,season,210.646,368.769,91.154,68.692,13.308,51.846,,12.154,23.615,275.538,6256.308
Adelaide,last5,216.04,391.2,97.6,75.8,14.6,52,,11,25,268.6,6242.4
Adelaide,last10,214.72,371.5,88.4,72.6,13.8,52.2,,12,24.3,276.1,6200.5
Melbourne,season,218.657,353.857,87.571,57.357,14.357,57.714,,15.143,21.357,272.786,6236.786
Melbourne,last5,225.62,362.4,91.4,57.4,13,57.6,,15.2,21.2,280.4,6355.4
Melbourne,last10,219.11,356.7,86.1,56.5,14.2,57.2,,15.1,21.5,275.6,6249.1
Greater Western Sydney,season,226.331,393.462,91,57.846,13.692,55.231,,12.615,23.385,259,6301.462
Greater Western Sydney,last5,237.64,389.8,89.4,62.8,16.8,53.4,,14.8,24.8,256.2,6166.6
Greater Western Sydney,last10,230.92,395.2,87.9,58.7,14.2,54.3,,12.7,23.4,262.6,6327.4
Carlton,season,195.931,376.308,95.692,53.923,11.385,50.538,,11.615,22.462,258.769,5851.846
Carlton,last5,194.56,394.4,108,49.6,11.6,51.4,,11,22.4,249.4,5885.8
Carlton,last10,195.35,377.8,100.8,55.6,11.7,51.2,,11.6,21.3,260.3,5786.2
Collingwood,season,209.2,385.538,102.462,59.308,11.846,52.154,,10.692,20.615,289.462,6176.923
Collingwood,last5,212.2,391.4,88.2,66,11.2,53.8,,11,25.4,295.2,6336.2
Collingwood,last10,211.21,385,98.3,62.1,11.9,52.9,,11,20.9,293.3,6114.3
Port Adelaide,season,184.254,348.462,99.231,57.154,11.769,50.077,,12,23.615,255.769,5971.077
Port Adelaide,last5,181.18,341.4,85.8,56,10.4,48.4,,9.8,27.2,272.8,6035
Port Adelaide,last10,184.72,349.6,96,58.4,11.1,49,,11.3,25.2,259.9,6040.9
Richmond,season,167.785,334,85.308,49.692,9.538,46.769,,12.308,19.615,256.462,5484.769
Richmond,last5,171.24,342,90.6,46.4,10,44.6,,12.8,17.8,241.2,5429.6
Richmond,last10,171.63,334.3,86.5,48.5,10,47.6,,12.7,19.5,255.6,5491.1
North Melbourne,season,191.415,366.231,96.077,56.615,12.923,50.077,,13.154,23.385,234.385,5678.615
North Melbourne,last5,169.28,346,94.8,55,10.8,48.2,,11.8,23,231.2,5351.8
North Melbourne,last10,188.25,361.8,92.5,56.8,12.4,50.3,,12.9,22.9,234.7,5660.7
St Kilda,season,203.186,377.929,99,52.929,13.143,51.357,,13.929,22.929,269.214,6069.357
St Kilda,last5,204.04,380.2,92.2,55.8,13,51.6,,13.2,25.4,293.8,5811.6
St Kilda,last10,204.5,379,101.4,54.2,13.8,49.4,,13.8,23.8,270.2,6072.7
Western Bulldogs,season,202.871,362.214,86,57.786,12.357,51.714,,14,23.857,270.286,5884.786
Western Bulldogs,last5,201.02,348.4,83.6,56.4,11.6,51.2,,12.4,24.2,288.2,5880.2
Western Bulldogs,last10,193.45,353.5,84,59.3,10.8,50.7,,13,23.3,281.2,5825.7
